strid,Lobith,Cologne,Kaub,Worms,Maxau,Basel
81,1214.0290530272573,1157.498849701162,1007.53003229816,908.773168652468,833.0187927745562,730.4570879611215
82,1539.4000881597124,1466.5516665246407,1257.909522777161,1118.6687676946642,1011.3312735989924,875.6269882575059
83,1898.4347606503168,1794.0016471535396,1522.0277260319688,1340.075164307368,1199.3498709349192,1025.5895356576084
84,2277.700469355384,2143.9754794640003,1806.4207921455948,1570.6863088653156,1391.203004419812,1177.4126951877363
85,2699.7940351784896,2526.4732452610824,2107.024102065792,1816.0879978134988,1589.9997378414782,1334.211298802458
86,1177.9932605866643,1125.1732721861413,978.4108248020644,888.198023025309,814.8895923931652,721.4500624128366
87,1503.9901943564369,1426.7084983501736,1228.456881492733,1093.4809911845732,992.0256137712516,867.9755606389166
88,1857.2340753945296,1757.7685803366842,1487.854008199265,1309.6342161718107,1178.8906757945513,1020.0291582204196
89,2235.611457623451,2101.706652914455,1771.7739352884216,1541.190994805613,1372.464274847924,1172.653619557556
90,2653.0865505913985,2481.229630796872,2068.931874703737,1783.2915608239905,1572.8887815034177,1328.4368261036673
91,1152.4671919866544,1099.8214429794698,958.6534975391656,869.8071955357218,799.3347351965924,708.1052410850759
92,1472.3912471457047,1395.6557398566308,1203.734019815269,1072.081904428929,974.8344448846384,853.9342312950586
93,1820.3719095520955,1719.8379105419351,1462.0266390632055,1286.5223796042692,1159.0516034120224,1006.0840711851076
94,2199.9224167050256,2065.890374126367,1742.811702328907,1514.4167526565625,1352.2438111401575,1160.9270975620984
95,2607.0502317453456,2445.335079481358,2037.1745862506532,1758.628496471658,1550.2882350468212,1317.1907880311858
96,1131.0450041429608,1077.9114725962834,943.2127008957024,853.3838747587686,787.3303460457831,700.9961509098842
97,1445.5552986393216,1368.9324714174943,1180.5143736847851,1055.5503585998113,960.6510458606148,845.5287360302049
98,1789.0962050779758,1691.556857051423,1437.6269647913884,1268.340279400592,1143.5904462936137,997.2207365176272
99,2165.4029837744374,2036.8664978916024,1719.4926824485103,1492.358576837863,1335.4821557451246,1149.0449271662546
100,2567.302834581796,2408.342833129992,2015.5173913206297,1735.2993201889913,1531.659068676944,1306.9194655576737
101,1328.642138642714,1268.7520335085526,1090.121108785994,970.6263919146838,875.9575888978865,762.0889788384429
102,1683.208526005128,1599.2154631518115,1354.823194914843,1190.0138645807133,1061.21494833444,912.6483118783024
103,2055.282644770534,1949.0654373165676,1631.7882935569578,1416.6655848085643,1255.206039803999,1066.3730780915757
104,2454.8704242435433,2312.1922976146043,1927.9295168636377,1654.024353456328,1454.9749354324094,1218.5771395636693
105,2879.069065022185,2700.795037794742,2244.0240818269085,1903.5985904058302,1656.8016386414952,1373.1587835280457
106,1308.1055644397309,1249.1360653425795,1071.584787687852,960.0658515872288,860.352933978787,753.9542692125654
107,1653.276731108031,1572.3189328346366,1333.3939096536562,1176.2751965339075,1052.731827792249,908.21291983068
108,2018.3035046057994,1911.3732199265369,1605.1591447406659,1397.2221569512085,1240.7606504001194,1061.2062290311085
109,2408.2738296497564,2267.812130487767,1898.7403969307027,1633.0496146724279,1441.5772139010523,1215.6567474871667
110,2837.8017242314236,2658.8656536636954,2213.118177712523,1886.6554353767792,1646.2764129780066,1372.6738737645348
111,1285.0909183410006,1227.3325005254273,1055.1689166725141,947.9333560501161,856.0190653657123,747.3933645772279
112,1622.8375868570067,1542.704053840881,1312.1515352387223,1161.15408303259,1038.8363160260285,899.8972073984667
113,1986.220442782375,1882.7278733929534,1579.7684789247403,1380.2881545863418,1227.716244487956,1054.3488724695158
114,2377.646854429192,2239.0868425834983,1871.138986687284,1614.3270623708422,1425.1354104596485,1210.0269285513812
115,2796.7464372520226,2621.255013270373,2182.823106593567,1860.6197958919697,1629.5695560917661,1367.7552775274016
116,1264.1609554158322,1208.1898971343344,1038.407577273767,932.6925774007873,847.2826030552774,740.1038538836106
117,1593.290905446016,1517.6025469395138,1293.9881387936514,1145.5947355563862,1025.2969148296188,892.6655473623714
118,1954.9201776322252,1849.9220897113491,1561.2084177995202,1363.915370377379,1213.6263138090656,1046.3302823933404
119,2340.374495922223,2199.732428432523,1848.5530694342035,1591.7815961691829,1410.43644629817,1202.8708864498217
120,2752.277355775077,2577.4867922004264,2156.685060717363,1837.7395672923628,1612.535748438035,1362.2371211026075
121,1244.0640313340953,1187.8673182420412,1023.2318794639225,919.6259511749564,840.1192573442534,735.0078863441415
122,1568.9791193441843,1490.0603705986478,1278.09546815358,1130.4593761384663,1017.1109194367467,884.2017984802546
123,1928.6100030749922,1818.3000749287908,1540.915362818639,1348.6331967929136,1200.3821660592534,1038.379620997459
124,2307.5176199551684,2173.602593079069,1824.179564780087,1574.8275383325074,1397.231604255234,1191.9725134349503
125,2714.2889301394625,2548.2205422211237,2126.803881410039,1815.1088295071172,1598.6766915713702,1351.3248329471978
